// Définitions incertaines

// Difficulté à trouver le bon mot en parlant
paralalie;BAVARDAGE  À COTÉ
xénotransplantation;ACTION  DE L'ÉTRANGER(-ÈRE) / DE L'HÔTE DE LA MODIFICATION DE LA PLANTE
xénotransplantation;ACTION  DE L'ÉTRANGER(-ÈRE) / DE L'HÔTE DU PASSAGE À TRAVERS / AU-DELÀ DE LA PLANTE


// anatomie vient du latin anatomia (« dissection »), du grec ancien ἀνατομή, anatomê, anatomo- doit être un préfixe à part entière
anatomopathologie;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DÉCOUPÉ(E) DE LA MALADIE
anatomopathologie;ÉTUDE  SANS SANS DÉCOUPÉ(E) DE LA MALADIE

anatomopathologique;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DÉCOUPÉ(E) DE LA MALADIE
anatomopathologique;ÉTUDE  SANS SANS DÉCOUPÉ(E) DE LA MALADIE

anatomopathologiste;SPÉCIALISTE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DÉCOUPÉ(E) DE LA MALADIE
anatomopathologiste;SPÉCIALISTE  SANS SANS DÉCOUPÉ(E) DE LA MALADIE

anatomophysiologique;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT DÉCOUPÉ(E) DU CORPS
anatomophysiologique;ÉTUDE  SANS SANS DÉCOUPÉ(E) DU CORPS

//diacyclothrombopathie;MALADIE  À TRAVERS DE LA ROUE DU CAILLOT : dia - cyclo - thrombo - pathie
diacyclothrombopathie;MALADIE  DOUBLE SANS DE LA ROUE DU CAILLOT

//tricholeucocyte;CELLULE  DU POIL BLANC(HE) : tricho - leuco - cyte
tricholeucocyte;CELLULE  TRIPLE DE LA BILE BIEN / VÉRITABLE AVEC

//a - mi - anti - fère : amianti- n'est pas présent dans la liste des préfixes
amiantifère;PORTER  SANS DE LA MOITIÉ CONTRE

//dé - co - ur - a - gée
découragée;TERRE  ENLEVER AVEC DE L'URINE SANS

//par - co - ur - able
parcourable;QUI PEUT ÊTRE  À TRAVERS / DE PART EN PART / TERMINER / INTENSE AVEC DE L'URINE
courable;QUI PEUT ÊTRE  AVEC DE L'URINE
coureur;AGENT / QUALITÉ  AVEC DE L'URINE
coureuse;AGENTE / QUALITÉ  AVEC DE L'URINE
amiable;QUI PEUT ÊTRE  SANS DE LA MOITIÉ

centauromachie;COMBAT  DU CENTIÈME SANS DE L'URINE
pyroaurite;INFLAMMATION  DU FEU SANS DE L'URINE
parcoureur;AGENT / QUALITÉ  À TRAVERS / DE PART EN PART / TERMINER / INTENSE AVEC DE L'URINE
parcoureuse;AGENTE / QUALITÉ  À TRAVERS / DE PART EN PART / TERMINER / INTENSE AVEC DE L'URINE
hydrocarburisme;DOCTRINE / ÉTAT / PROFESSION  DE L'EAU DU CHARBON DE L'URINE
carbonitruration;ACTION  DU CHARBON DU NITRE -> AZOTÉ(E) DE L'URINE
bicarburation;ACTION  DOUBLE DU CHARBON DE L'URINE
décarburatrice;AGENTE  ENLEVER DU CHARBON DE L'URINE
décarburateur;AGENT  ENLEVER DU CHARBON DE L'URINE
décarburation;ACTION  ENLEVER DU CHARBON DE L'URINE
carburateur;AGENT  DU CHARBON DE L'URINE
carburation;ACTION  DU CHARBON DE L'URINE
carburatrice;AGENTE  DU CHARBON DE L'URINE
carburologue;SPÉCIALISTE / DISCOURS  DU CHARBON DE L'URINE
concouriste;ADEPTE / SPÉCIALISTE  AVEC AVEC DE L'URINE
discoureur;AGENT / QUALITÉ  DU DISQUE DE L'URINE
discoureuse;AGENTE / QUALITÉ  DU DISQUE DE L'URINE
discoureur;AGENT / QUALITÉ  DE LA SÉPARATION AVEC DE L'URINE
discoureuse;AGENTE / QUALITÉ  DE LA SÉPARATION AVEC DE L'URINE
aureuse;AGENTE / QUALITÉ  SANS DE L'URINE
aureux;AGENT / QUALITÉ  SANS DE L'URINE
aurique;À PROPOS  SANS DE L'URINE
auriste;ADEPTE / SPÉCIALISTE  SANS DE L'URINE
cyanuration;ACTION  BLEU(E) DE L'URINE
cyanurique;À PROPOS  BLEU(E) DE L'URINE
fluoruration;ACTION  DU FLUOR DE L'URINE
nitruration;ACTION  DU NITRE -> AZOTÉ(E) DE L'URINE
pétauriste;ADEPTE / SPÉCIALISTE  10^15 DE L'URINE
pétauroïde;APPARENCE  10^15 DE L'URINE
plantureuse;AGENTE / QUALITÉ  DE LA PLANTE DE L'URINE
plantureux;AGENT / QUALITÉ  DE LA PLANTE DE L'URINE

// aide : APPARENCE  SANS : a - ide
aide;APPARENCE  SANS


// Avec élision du o :

calomniateur;AGENT  BEAU (BELLE) TOUT(E)
calomniatrice;AGENTE  BEAU (BELLE) TOUT(E)
calomnieuse;AGENTE / QUALITÉ  BEAU (BELLE) TOUT(E)
calomnieux;AGENT / QUALITÉ  BEAU (BELLE) TOUT(E)

démontable;QUI PEUT ÊTRE  DU PEUPLE DE L'ÊTRE
démonteur;AGENT / QUALITÉ  DU PEUPLE DE L'ÊTRE
démonteuse;AGENTE / QUALITÉ  DU PEUPLE DE L'ÊTRE

odorologie;ÉTUDE  DU CHEMIN DE LA MONTAGNE

prorogée;TERRE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE LA MONTAGNE
prorogée;TERRE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE LA BOUCHE

// néo-romane
néoromane;MANIAQUE  NOUVEAU (-VELLE) DE LA MONTAGNE
néoromane;MANIAQUE  NOUVEAU (-VELLE) DE LA BOUCHE
néoromane;MAIN  NOUVEAU (-VELLE) DE LA MONTAGNE
néoromane;MAIN  NOUVEAU (-VELLE) DE LA BOUCHE

endosmomètre;MESUREUR  À L'INTÉRIEUR DE L'ODEUR // endo - osmo - mètre
//endosmomètre;MESUREUR  À L'INTÉRIEUR DE LA POUSSÉE // endo - osmo - mètre
