Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
dysménorrhée | ÉCOULEMENT  DU TROUBLE MENSUEL(LE) -> PÉRIODIQUE | rrhée - dys - méno |  - +
dysmétabolique | JET  DU TROUBLE AU-DELÀ / APRÈS | bolique - dys - méta |  - +
dysmétabolisme | JET  DU TROUBLE AU-DELÀ / APRÈS | bolisme - dys - méta |  - +
dysmétropsie | VISION  DU TROUBLE DE LA MESURE | opsie - dys - métr |  - +métro (métron)
dysmorphogenèse | CRÉATION  DU TROUBLE DE LA FORME | genèse - dys - morpho | gène - +morpho
dysmorphophobie | AVERSION  DU TROUBLE DE LA FORME | phobie - dys - morpho | phobe - +morpho
dysmyélopoïèse | CRÉATION  DU TROUBLE DE LA MOELLE | poïèse - dys - myélo | poïèse - +
dysontogenèse | CRÉATION  DU TROUBLE DE L'ÊTRE | genèse - dys - onto | gène - +
dysontogénétique | CRÉATION  DU TROUBLE DE L'ÊTRE | génétique - dys - onto | gène - +
dysorthographie | ÉCRITURE  DU TROUBLE DROIT(E) | graphie - dys - ortho | grapho - +
dysorthographique | ÉCRITURE  DU TROUBLE DROIT(E) | graphique - dys - ortho | grapho - +
dysphagique | À PROPOS  DU TROUBLE MANGÉ(E) / QUI MANGE | ique - dys - phag |  - +phago
dysprotéinémie | SANG  DU TROUBLE DE LA PROTÉINE | émie - dys - protéin |  - +
dyssymétrie | MESURE  DU TROUBLE AVEC | métrie - dys - sy | métro (métron) - +syn
dyssymétrique | MESURAGE  DU TROUBLE AVEC | métrique - dys - sy | métro (métron) - +syn
dyssynergie | TRAVAIL  DU TROUBLE AVEC | ergie - dys - syn | ergo - +syn
dyssyntaxie | DISPOSITION  DU TROUBLE AVEC | taxie - dys - syn |  - +syn
dysurique | À PROPOS  DU TROUBLE DE L'URINE | ique - dys - ur |  - +
échocardiogramme | ÉCRITURE  DE L'ÉCHO DU CŒUR | gramme - écho - cardio | gramma - +
échocardiographie | ÉCRITURE  DE L'ÉCHO DU CŒUR | graphie - écho - cardio | grapho - +
échocardiographique | ÉCRITURE  DE L'ÉCHO DU CŒUR | graphique - écho - cardio | grapho - +
échoencéphalogramme | ÉCRITURE  DE L'ÉCHO DU CERVEAU | gramme - écho - encéphalo | gramma - +
échoencéphalographie | ÉCRITURE  DE L'ÉCHO DU CERVEAU | graphie - écho - encéphalo | grapho - +
échoencéphalographique | ÉCRITURE  DE L'ÉCHO DU CERVEAU | graphique - écho - encéphalo | grapho - +
échoendoscope | VISIONNEUSE  DE L'ÉCHO À L'INTÉRIEUR | scope - écho - endo | scope - +
échoendoscopie | EXAMEN  DE L'ÉCHO À L'INTÉRIEUR | scopie - écho - endo | scope - +
échographiste | ADEPTE / SPÉCIALISTE  DE L'ÉCHO DE L'ÉCRITURE | iste - écho - graph |  - +grapho
échotomographie | ÉCRITURE  DE L'ÉCHO DÉCOUPÉ(E) | graphie - écho - tomo | grapho - +tomo
échotomographique | ÉCRITURE  DE L'ÉCHO DÉCOUPÉ(E) | graphique - écho - tomo | grapho - +tomo
écobiocénose | COMMUNAUTÉ  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE DE LA VIE | cénose - éco - bio |  - +bio
écoclimatologie | ÉTUDE  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE DE L'INCLINAISON -> DU CLIMAT | logie - éco - climato | logo - +
économiseur | AGENT / QUALITÉ  DE LA MAISON -> DE L'ÉCONOMIE QUI DÉTESTE | eur - écono - mis |  - +
écophysiologie | ÉTUDE  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE DU CORPS | logie - éco - physio | logo - +physio
écophysiologique | ÉTUDE  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE DU CORPS | logique - éco - physio | logo - +physio
écotechnologie | ÉTUDE  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE DE LA TECHNIQUE | logie - éco - techno | logo - +
écotoxicologie | ÉTUDE  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE TOXIQUE | logie - éco - toxico | logo - +
écotoxicologue | SPÉCIALISTE / DISCOURS  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE TOXIQUE | logue - éco - toxico | logo - +
écotoxique | À PROPOS  DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE TOXIQUE | ique - éco - tox |  - +
ectoantigène | GÉNÉRATEUR / ORIGINE  AU DEHORS CONTRE | gène - ecto - anti | gène - +anti
ectoblastique | À PROPOS  AU DEHORS DU GERME | ique - ecto - blast |  - +
ectoparasite | NOURRITURE  AU DEHORS À COTÉ | site - ecto - para |  - +para
ectoplasmique | À PROPOS  AU DEHORS DE LA FORMATION | ique - ecto - plasm |  - +plasmo
égocentriste | ADEPTE / SPÉCIALISTE  DU MOI DU CENTRE | iste - égo - centr |  - +centro
électroanalyse | DÉCOMPOSITION  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - électro - ana |  - électricité+
électroanesthésie | SENSATION  DE L'AMBRE -> DE L'ÉLECTRICITÉ SANS | esthésie - électro - an |  - électricité+an
électrobiogenèse | CRÉATION  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA VIE | genèse - électro - bio | gène - électricité+bio
électrobiologie | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA VIE | logie - électro - bio | logo - électricité+bio
électrobiologique | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA VIE | logique - électro - bio | logo - électricité+bio
électrobiologiste | SPÉCIALISTE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA VIE | logiste - électro - bio | logo - électricité+bio
électrocardiogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | gramme - électro - cardio | gramma - électricité+
électrocardiographe | QUI ÉCRIT  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | graphe - électro - cardio | grapho - électricité+
électrocardiographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | graphie - électro - cardio | grapho - électricité+
électrocardiographique | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | graphique - électro - cardio | grapho - électricité+
électrocardiokymographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR DU MOUVEMENT | graphie - électro - cardio - kymo | grapho - électricité++
électrocardioscope | VISIONNEUSE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | scope - électro - cardio | scope - électricité+
électrocardioscopie | EXAMEN  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR | scopie - électro - cardio | scope - électricité+
électrocardiovectogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CŒUR DU VECTEUR | gramme - électro - cardio - vecto | gramma - électricité++
électrochimiothérapie | MÉDECINE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA CHIMIE | thérapie - électro - chimio | thérapie - électricité+chimie
électroconcentration | ACTION  DE L'AMBRE -> DE L'ÉLECTRICITÉ AVEC DU CENTRE | ation - électro - con - centr | ation - électricité++centro
électrocorticogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'ÉCORCE / DU CORTEX | gramme - électro - cortico | gramma - électricité+
électrocorticographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'ÉCORCE / DU CORTEX | graphie - électro - cortico | grapho - électricité+
électrodermogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA PEAU | gramme - électro - dermo | gramma - électricité+
électrodermographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA PEAU | graphie - électro - dermo | grapho - électricité+
électrodialyse | DÉCOMPOSITION  DE L'AMBRE -> DE L'ÉLECTRICITÉ À TRAVERS | lyse - électro - dia |  - électricité+
électrodynamomètre | MESUREUR  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA FORCE | mètre - électro - dynamo | métro (métron) - électricité+dyne
électroencéphalogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CERVEAU | gramme - électro - encéphalo | gramma - électricité+
électroencéphalographe | QUI ÉCRIT  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CERVEAU | graphe - électro - encéphalo | grapho - électricité+
électroencéphalographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CERVEAU | graphie - électro - encéphalo | grapho - électricité+
électroencéphalographique | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CERVEAU | graphique - électro - encéphalo | grapho - électricité+
électrogastrographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU VENTRE | graphie - électro - gastro | grapho - électricité+gastro
électrogravimétrie | MESURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU POIDS | métrie - électro - gravi | métro (métron) - électricité+
électrokymographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU MOUVEMENT | graphie - électro - kymo | grapho - électricité+
électrométallurgie | TRAVAIL  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU MÉTAL | urgie - électro - métall | ergo - électricité+
électrométallurgique | TRAVAIL  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU MÉTAL | urgique - électro - métall | ergo - électricité+
électrométallurgiste | TRAVAILLEUR  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU MÉTAL | urgiste - électro - métall | ergo - électricité+
électromyogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA SOURIS -> DU MUSCLE | gramme - électro - myo | gramma - électricité+
électromyographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA SOURIS -> DU MUSCLE | graphie - électro - myo | grapho - électricité+
électromyographique | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA SOURIS -> DU MUSCLE | graphique - électro - myo | grapho - électricité+
électrooculogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'OEIL | gramme - électro - oculo | gramma - électricité+oculo
électrooculographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'OEIL | graphie - électro - oculo | grapho - électricité+oculo
électropathologie | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA MALADIE | logie - électro - patho | logo - électricité+patho (souffrance)
électrophotographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA LUMIÈRE | graphie - électro - photo | grapho - électricité+
électrophotographique | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA LUMIÈRE | graphique - électro - photo | grapho - électricité+
électrophysiologie | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CORPS | logie - électro - physio | logo - électricité+physio
électrophysiologique | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU CORPS | logique - électro - physio | logo - électricité+physio
électroprotéinogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA PROTÉINE | gramme - électro - protéino | gramma - électricité+
électroradiologie | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU RAYONNEMENT | logie - électro - radio | logo - électricité+
électroradiologiste | SPÉCIALISTE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU RAYONNEMENT | logiste - électro - radio | logo - électricité+
électrorétinogramme | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DES RETS -> DE LA RÉTINE | gramme - électro - rétino | gramma - électricité+
électrorétinographie | ÉCRITURE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DES RETS -> DE LA RÉTINE | graphie - électro - rétino | grapho - électricité+
électrorhéologique | ÉTUDE  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE L'ÉCOULEMENT | logique - électro - rhéo | logo - électricité+
électrosidérurgie | TRAVAIL  DE L'AMBRE -> DE L'ÉLECTRICITÉ DU FER | urgie - électro - sidér | ergo - électricité+sidéro
électrothermique | À PROPOS  DE L'AMBRE -> DE L'ÉLECTRICITÉ DE LA CHALEUR | ique - électro - therm |  - électricité+thermo
encéphalomyélite | INFLAMMATION  DU CERVEAU DE LA MOELLE | ite - encéphalo - myél |  - +
encéphalomyélographie | ÉCRITURE  DU CERVEAU DE LA MOELLE | graphie - encéphalo - myélo | grapho - +
encéphalomyélopathie | MALADIE  DU CERVEAU DE LA MOELLE | pathie - encéphalo - myélo | patho (souffrance) - +
encéphalomyocardite | INFLAMMATION  DU CERVEAU DE LA SOURIS -> DU MUSCLE DU CŒUR | ite - encéphalo - myo - card |  - ++
encéphalomyopathie | MALADIE  DU CERVEAU DE LA SOURIS -> DU MUSCLE | pathie - encéphalo - myo | patho (souffrance) - +
endoamnioscopie | EXAMEN  À L'INTÉRIEUR DU BASSIN | scopie - endo - amnio | scope - +
endoblastique | À PROPOS  À L'INTÉRIEUR DU GERME | ique - endo - blast |  - +
endocardectomie | ABLATION  À L'INTÉRIEUR DU CŒUR | ectomie - endo - card |  - +
endocardique | À PROPOS  À L'INTÉRIEUR DU CŒUR | ique - endo - card |  - +
endocardite | INFLAMMATION  À L'INTÉRIEUR DU CŒUR | ite - endo - card |  - +
endocrinologie | ÉTUDE  À L'INTÉRIEUR DE LA SÉCRÉTION | logie - endo - crino | logo - +
endocrinologique | ÉTUDE  À L'INTÉRIEUR DE LA SÉCRÉTION | logique - endo - crino | logo - +
endocrinologiste | SPÉCIALISTE  À L'INTÉRIEUR DE LA SÉCRÉTION | logiste - endo - crino | logo - +
endocrinologue | SPÉCIALISTE / DISCOURS  À L'INTÉRIEUR DE LA SÉCRÉTION | logue - endo - crino | logo - +
endocrinopathie | MALADIE  À L'INTÉRIEUR DE LA SÉCRÉTION | pathie - endo - crino | patho (souffrance) - +
endocrinothérapie | MÉDECINE  À L'INTÉRIEUR DE LA SÉCRÉTION | thérapie - endo - crino | thérapie - +
endocrinotrope | ORIENTATION  À L'INTÉRIEUR DE LA SÉCRÉTION | trope - endo - crino | trope - +
endolymphite | INFLAMMATION  À L'INTÉRIEUR LIQUIDE | ite - endo - lymph |  - +
endométrite | INFLAMMATION  À L'INTÉRIEUR DE LA MATRICE | ite - endo - métr |  - +métro (mêtra)
endomyocardiopathie | MALADIE  À L'INTÉRIEUR DE LA SOURIS -> DU MUSCLE DU CŒUR | pathie - endo - myo - cardio | patho (souffrance) - ++
endomyocardique | À PROPOS  À L'INTÉRIEUR DE LA SOURIS -> DU MUSCLE DU CŒUR | ique - endo - myo - card |  - ++
endomyocardite | INFLAMMATION  À L'INTÉRIEUR DE LA SOURIS -> DU MUSCLE DU CŒUR | ite - endo - myo - card |  - ++
endomyopéricardite | INFLAMMATION  À L'INTÉRIEUR DE LA SOURIS -> DU MUSCLE AUTOUR DU CŒUR | ite - endo - myo - péri - card |  - ++péri+
endonéphrite | INFLAMMATION  À L'INTÉRIEUR DU REIN | ite - endo - néphr |  - +
endoparasite | NOURRITURE  À L'INTÉRIEUR À COTÉ | site - endo - para |  - +para
endopéricardite | INFLAMMATION  À L'INTÉRIEUR AUTOUR DU CŒUR | ite - endo - péri - card |  - +péri+
endophlébite | INFLAMMATION  À L'INTÉRIEUR DE LA VEINE | ite - endo - phléb |  - +
endoplasmique | À PROPOS  À L'INTÉRIEUR DE LA FORMATION | ique - endo - plasm |  - +plasmo
endoradiothérapie | MÉDECINE  À L'INTÉRIEUR DU RAYONNEMENT | thérapie - endo - radio | thérapie - +
endosmomètre | MESUREUR  À L'INTÉRIEUR DE LA POUSSÉE | mètre - end(o) - osmo | métro (métron) - +ôsmos
endosonographie | ÉCRITURE  À L'INTÉRIEUR DU SON | graphie - endo - sono | grapho - +sono
endothermique | À PROPOS  À L'INTÉRIEUR DE LA CHALEUR | ique - endo - therm |  - +thermo
ennéahexaèdre | BASE -> FACE  NEUF (NEUVE) SIX | èdre - ennéa - hexa |  - +
entéradénographie | ÉCRITURE  DE L'INTESTIN DE LA GLANDE | graphie - entér - adéno | grapho - +
entérocystocèle | TUMEUR / HERNIE  DE L'INTESTIN DE LA VESSIE -> DE LA VÉSICULE | cèle - entéro - cysto |  - +
entérocystoplastie | FAÇONNEMENT  DE L'INTESTIN DE LA VESSIE -> DE LA VÉSICULE | plastie - entéro - cysto | plasmo - +
entérohépatique | À PROPOS  DE L'INTESTIN DU FOIE | ique - entéro - hépat |  - +
entéromyxorrhée | ÉCOULEMENT  DE L'INTESTIN DU MUCUS | rrhée - entéro - myxo |  - +
entéropathogène | GÉNÉRATEUR / ORIGINE  DE L'INTESTIN DE LA MALADIE | gène - entéro - patho | gène - +patho (souffrance)
entérorectostomie | BOUCHE  DE L'INTESTIN DU RECTUM | stomie - entéro - recto |  - +
entérotératome | COUPURE  DE L'INTESTIN DU MONSTRE -> MILLE MILLIARDS (10^12) | tome - entéro - téra | tomo - +
entérotoxémie | SANG  DE L'INTESTIN TOXIQUE | émie - entéro - tox |  - +
entredévore | DÉVOREUR  ENTRE ENLEVER | vore - entre - dé |  - inter+
épiblastique | À PROPOS  SUR DU GERME | ique - épi - blast |  - +
épicardique | À PROPOS  SUR DU CŒUR | ique - épi - card |  - +
épicardite | INFLAMMATION  SUR DU CŒUR | ite - épi - card |  - +
épicarpique | À PROPOS  SUR DU FRUIT | ique - épi - carp |  - +karpos : fruit
épicycloïde | APPARENCE  SUR DE LA ROUE | ïde - épi - cyclo |  - +cyclo
épidactyloscope | VISIONNEUSE  SUR DU DOIGT | scope - épi - dactylo | scope - +dactylo
épidermodysplasie | FAÇONNEMENT  SUR DE LA PEAU DU TROUBLE | plasie - épi - dermo - dys | plasmo - ++
épidermoïde | APPARENCE  SUR DE LA PEAU | ïde - épi - dermo |  - +
épidermolyse | DÉCOMPOSITION  SUR DE LA PEAU | lyse - épi - dermo |  - +
épidermomycose | CHAMPIGNON  SUR DE LA PEAU | mycose - épi - dermo |  - +
épidiascope | VISIONNEUSE  SUR À TRAVERS | scope - épi - dia | scope - +
épidiascopique | EXAMEN  SUR À TRAVERS | scopique - épi - dia | scope - +
épigastralgie | DOULEUR  SUR DU VENTRE | algie - épi - gastr | algos - +gastro
épigastralgique | DOULEUR  SUR DU VENTRE | algique - épi - gastr | algos - +gastro
épigastrocèle | TUMEUR / HERNIE  SUR DU VENTRE | cèle - épi - gastro |  - +gastro
épigraphiste | ADEPTE / SPÉCIALISTE  SUR DE L'ÉCRITURE | iste - épi - graph |  - +grapho
épikératoplastie | FAÇONNEMENT  SUR DE LA CORNE (CORNÉE) | plastie - épi - kérato | plasmo - +cérato
épileptogène | GÉNÉRATEUR / ORIGINE  SUR MINCE | gène - épi - lepto | gène - +
épileptoïde | APPARENCE  SUR MINCE | ïde - épi - lepto |  - +
épileptologue | SPÉCIALISTE / DISCOURS  SUR MINCE | logue - épi - lepto | logo - +
épinéphrome | TUMEUR  SUR DU REIN | ome - épi - néphr |  - +
épineurectomie | ABLATION  SUR DES NERFS | ectomie - épi - neur |  - +
épineurolyse | DÉCOMPOSITION  SUR DES NERFS | lyse - épi - neuro |  - +
épioolithique | PIERRE  SUR DE L'OEUF | lithique - épi - oo | litho - +oion
épipaléolithique | PIERRE  SUR DE L'ANCIEN(NE) | lithique - épi - paléo | litho - +paléo
épiphyllanthe | FLEUR  SUR DE LA FEUILLE | anthe - épi - phyll | antho - +
épiphysiolyse | DÉCOMPOSITION  SUR DU CORPS | lyse - épi - physio |  - +physio
épiphytique | À PROPOS  SUR DU VÉGÉTAL | ique - épi - phyt |  - +
épiphytisme | DOCTRINE / ÉTAT / PROFESSION  SUR DU VÉGÉTAL | isme - épi - phyt |  - +
épisyllogisme | ÉTUDE  SUR AVEC | logisme - épi - syl | logo - +syn
épithermique | À PROPOS  SUR DE LA CHALEUR | ique - épi - therm |  - +thermo
équibarycentre | CENTRE  DE L'ÉGAL LOURD(E) | centre - équi - bary | centro - +baro
équidomoïde | APPARENCE  DE L'ÉGAL DE LA MAISON | ïde - équi - domo |  - +
érythroblastémie | SANG  ROUGE DU GERME | émie - érythro - blast |  - érythro+
érythroblastique | À PROPOS  ROUGE DU GERME | ique - érythro - blast |  - érythro+
érythroblastolyse | DÉCOMPOSITION  ROUGE DU GERME | lyse - érythro - blasto |  - érythro+
érythroblastome | TUMEUR  ROUGE DU GERME | ome - érythro - blast |  - érythro+
érythroblastopénie | PAUVRETÉ  ROUGE DU GERME | pénie - érythro - blasto |  - érythro+
érythrokératodermie | PEAU  ROUGE DE LA CORNE (CORNÉE) | dermie - érythro - kérato |  - érythro+cérato
érythroleucémie | SANG  ROUGE BLANC(HE) | émie - érythro - leuc |  - érythro+
érythromyélémie | SANG  ROUGE DE LA MOELLE | émie - érythro - myél |  - érythro+
érythromyéloblastome | TUMEUR  ROUGE DE LA MOELLE DU GERME | ome - érythro - myélo - blast |  - érythro++
érythromyéloïde | APPARENCE  ROUGE DE LA MOELLE | ïde - érythro - myélo |  - érythro+
ethnobiologie | ÉTUDE  DU PEUPLE DE LA VIE | logie - ethno - bio | logo - ethno+bio
ethnobiologique | ÉTUDE  DU PEUPLE DE LA VIE | logique - ethno - bio | logo - ethno+bio
ethnobiologiste | SPÉCIALISTE  DU PEUPLE DE LA VIE | logiste - ethno - bio | logo - ethno+bio
ethnocentriste | ADEPTE / SPÉCIALISTE  DU PEUPLE DU CENTRE | iste - ethno - centr |  - ethno+centro
ethnophysiologie | ÉTUDE  DU PEUPLE DU CORPS | logie - ethno - physio | logo - ethno+physio
ethnophysiologique | ÉTUDE  DU PEUPLE DU CORPS | logique - ethno - physio | logo - ethno+physio
ethnopsychiatrie | MÉDECIN  DU PEUPLE DE L'ÂME | iatrie - ethno - psych | iatre - ethno+
ethnopsychologie | ÉTUDE  DU PEUPLE DE L'ÂME | logie - ethno - psycho | logo - ethno+
ethnopsychologique | ÉTUDE  DU PEUPLE DE L'ÂME | logique - ethno - psycho | logo - ethno+
ethnozoologie | ÉTUDE  DU PEUPLE DE L'ANIMAL | logie - ethno - zoo | logo - ethno+
ethnozoologique | ÉTUDE  DU PEUPLE DE L'ANIMAL | logique - ethno - zoo | logo - ethno+
ethnozootechnique | TECHNIQUE  DU PEUPLE DE L'ANIMAL | technique - ethno - zoo |  - ethno+
étiopathogénie | DÉVELOPPEMENT  DE LA CAUSE DE LA MALADIE | génie - étio - patho | gène - +patho (souffrance)
étiopathogénique | DÉVELOPPEMENT  DE LA CAUSE DE LA MALADIE | génique - étio - patho | gène - +patho (souffrance)
étioprophylaxie | PROTECTION  DE LA CAUSE DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - étio - pro |  - +
euarthropode | PIED  BIEN / VÉRITABLE DE L'ARTICULATION | pode - eu - arthro |  - +
euchromosome | CORPS  BIEN / VÉRITABLE DE LA COULEUR | some - eu - chromo | somato - +chromo
eucryptite | INFLAMMATION  BIEN / VÉRITABLE CACHÉ(E) | ite - eu - crypt |  - +
eudémonologie | ÉTUDE  BIEN / VÉRITABLE DU DÉMON | logie - eu - démono | logo - +
eugéniste | ADEPTE / SPÉCIALISTE  BIEN / VÉRITABLE DE LA RACE | iste - eu - gén |  - +gène
eurocentriste | ADEPTE / SPÉCIALISTE  DE L'EURO DU CENTRE | iste - euro - centr |  - +centro
eutectoïde | APPARENCE  BIEN / VÉRITABLE DU TOIT | ïde - eu - tecto |  - +
exoantigène | GÉNÉRATEUR / ORIGINE  EN DEHORS CONTRE | gène - exo - anti | gène - exo+anti
exobiologie | ÉTUDE  EN DEHORS DE LA VIE | logie - exo - bio | logo - exo+bio
exobiologique | ÉTUDE  EN DEHORS DE LA VIE | logique - exo - bio | logo - exo+bio
exobiologiste | SPÉCIALISTE  EN DEHORS DE LA VIE | logiste - exo - bio | logo - exo+bio
exocrinopathie | MALADIE  EN DEHORS DE LA SÉCRÉTION | pathie - exo - crino | patho (souffrance) - exo+
exomphalocèle | TUMEUR / HERNIE  EN DEHORS DU NOMBRIL | cèle - ex(o) - omphalo |  - exo+
exophtalmique | À PROPOS  EN DEHORS DE L'OEIL | ique - ex(o) - ophtalm |  - exo+ophtalmo
exophtalmomètre | MESUREUR  EN DEHORS DE L'OEIL | mètre - ex(o) - ophtalmo | métro (métron) - exo+ophtalmo
exophtalmométrie | MESURE  EN DEHORS DE L'OEIL | métrie - ex(o) - ophtalmo | métro (métron) - exo+ophtalmo
exoplasmique | À PROPOS  EN DEHORS DE LA FORMATION | ique - exo - plasm |  - exo+plasmo
exopolysaccharide | APPARENCE  EN DEHORS MULTIPLE DU SUCRE | ide - exo - poly - sacchar | eidos - exo++saccharo
exothermique | À PROPOS  EN DEHORS DE LA CHALEUR | ique - exo - therm |  - exo+thermo
extraatmosphérique | SPHÈRE  EN DEHORS DE LA VAPEUR, L'AIR | sphérique - extra - atmo |  - extra+
extracystite | INFLAMMATION  EN DEHORS DE LA VESSIE -> DE LA VÉSICULE | ite - extra - cyst |  - extra+
extrahépatique | À PROPOS  EN DEHORS DU FOIE | ique - extra - hépat |  - extra+
extraneurologique | ÉTUDE  EN DEHORS DES NERFS | logique - extra - neuro | logo - extra+
ferricyanhydrique | EAU  DU FER BLEU(E) | hydrique - ferri - cyan | hydro - +
ferricyanogène | GÉNÉRATEUR / ORIGINE  DU FER BLEU(E) | gène - ferri - cyano | gène - +
ferrocalcite | INFLAMMATION  DU FER DU CALCIUM | ite - ferro - calc |  - +
ferrocyanhydrique | EAU  DU FER BLEU(E) | hydrique - ferro - cyan | hydro - +
ferrocyanique | À PROPOS  DU FER BLEU(E) | ique - ferro - cyan |  - +
ferrocyanogène | GÉNÉRATEUR / ORIGINE  DU FER BLEU(E) | gène - ferro - cyano | gène - +
fibroadénome | TUMEUR  À L’EXTRÉMITÉ -> DE LA FIBRE DE LA GLANDE | ome - fibro - adén |  - +
fibroblastique | À PROPOS  À L’EXTRÉMITÉ -> DE LA FIBRE DU GERME | ique - fibro - blast |  - +
fibroblastome | TUMEUR  À L’EXTRÉMITÉ -> DE LA FIBRE DU GERME | ome - fibro - blast |  - +
fibrobronchoscopie | EXAMEN  À L’EXTRÉMITÉ -> DE LA FIBRE DE LA BRONCHE | scopie - fibro - broncho | scope - +
fibrochondrogenèse | CRÉATION  À L’EXTRÉMITÉ -> DE LA FIBRE DU CARTILAGE | genèse - fibro - chondro | gène - +
fibrocoloscope | VISIONNEUSE  À L’EXTRÉMITÉ -> DE LA FIBRE DU CÔLON | scope - fibro - colo | scope - +
fibrocoloscopie | EXAMEN  À L’EXTRÉMITÉ -> DE LA FIBRE DU CÔLON | scopie - fibro - colo | scope - +
fibroduodénogastroscopie | EXAMEN  À L’EXTRÉMITÉ -> DE LA FIBRE DU DUODÉNUM DU VENTRE | scopie - fibro - duodéno - gastro | scope - ++gastro
fibroduodénoscopie | EXAMEN  À L’EXTRÉMITÉ -> DE LA FIBRE DU DUODÉNUM | scopie - fibro - duodéno | scope - +
fibrogastroscope | VISIONNEUSE  À L’EXTRÉMITÉ -> DE LA FIBRE DU VENTRE | scope - fibro - gastro | scope - +gastro
fibrogastroscopie | EXAMEN  À L’EXTRÉMITÉ -> DE LA FIBRE DU VENTRE | scopie - fibro - gastro | scope - +gastro
fibromyopathie | MALADIE  À L’EXTRÉMITÉ -> DE LA FIBRE DE LA SOURIS -> DU MUSCLE | pathie - fibro - myo | patho (souffrance) - +
