mot;DÉFINITION;préfixe;suffixe;niveau préfixe;niveau suffixe;unicité préfixe;unicité suffixe;fréq. préfixe;fréq. suffixe
céphalopode;PIED  DE LA TÊTE;céphalo;pode;2;2;;;Frequent;Frequent
céphaloptère;AILE  DE LA TÊTE;céphalo;ptère;2;2;;;Frequent;Frequent
céphaloscopie;EXAMEN  DE LA TÊTE;céphalo;scopie;2;1;;scope;Frequent;Frequent
céphalosome;CORPS  DE LA TÊTE;céphalo;some;2;2;;somato;Frequent;Frequent
céphalothèque;RANGEMENT  DE LA TÊTE;céphalo;thèque;2;2;;;Frequent;Frequent
céphalotome;COUPURE  DE LA TÊTE;céphalo;tome;2;2;;tomo;Frequent;Frequent
céphalotomie;DÉCOUPE  DE LA TÊTE;céphalo;tomie;2;2;;tomo;Frequent;Frequent
cération;ACTION  DE LA CIRE;cér;ation;3;2;;ation;Moyen;Frequent
cératocèle;TUMEUR / HERNIE  DE LA CORNÉE;cérato;cèle;3;3;cérato;;Moyen;Frequent
cératoglosse;LANGUE  DE LA CORNÉE;cérato;glosse;3;3;cérato;glosso;Moyen;Frequent
cératoïde;APPARENCE  DE LA CORNÉE;cérato;ïde;3;3;cérato;;Moyen;Frequent
cératolithe;PIERRE  DE LA CORNÉE;cérato;lithe;3;2;cérato;litho;Moyen;Frequent
cératomorphe;FORME  DE LA CORNÉE;cérato;morphe;3;1;cérato;morpho;Moyen;Frequent
cératothèque;RANGEMENT  DE LA CORNÉE;cérato;thèque;3;2;cérato;;Moyen;Frequent
cercopithèque;SINGE  DE LA QUEUE;cerco;pithèque;3;2;;;Rare;Moyen
céreuse;AGENTE / QUALITÉ  DE LA CIRE;cér;euse;3;2;;;Moyen;Frequent
céreux;AGENT / QUALITÉ  DE LA CIRE;cér;eux;3;2;;;Moyen;Frequent
cérifère;PORTER  DE LA CIRE;céri;fère;3;2;;;Moyen;Frequent
cérigène;GÉNÉRATEUR / ORIGINE  DE LA CIRE;céri;gène;3;2;;gène;Moyen;Frequent
cérique;À PROPOS  DE LA CIRE;cér;ique;3;2;;;Moyen;Frequent
cérirostre;BEC  DE LA CIRE;céri;rostre;3;3;;;Moyen;Moyen
cérite;INFLAMMATION  DE LA CIRE;cér;ite;3;2;;;Moyen;Frequent
cérographie;ÉCRITURE  DE LA CIRE;céro;graphie;3;2;;grapho;Moyen;Frequent
céroïde;APPARENCE  DE LA CIRE;céro;ïde;3;3;;;Moyen;Frequent
céromancie;PRÉDICTION  DE LA CIRE;céro;mancie;3;2;;mancie;Moyen;Frequent
céromancien;PRÉDICTEUR  DE LA CIRE;céro;mancien;3;2;;mancie;Moyen;Moyen
céroplaste;MODELEUR  DE LA CIRE;céro;plaste;3;3;;plasmo;Moyen;Moyen
céroplastique;FAÇONNEMENT  DE LA CIRE;céro;plastique;3;3;;plasmo;Moyen;Frequent
cérostome;BOUCHE  DE LA CIRE;céro;stome;3;3;;;Moyen;Frequent
céroxyle;BOIS  DE LA CIRE;céro;xyle;3;2;;xylo;Moyen;Moyen
cétodonte;DENT  DU CÉTACÉ;cét(o);odonte;3;3;;;Moyen;Frequent
cétogène;GÉNÉRATEUR / ORIGINE  DU CÉTACÉ;céto;gène;3;2;;gène;Moyen;Frequent
cétogenèse;CRÉATION  DU CÉTACÉ;céto;genèse;3;2;;gène;Moyen;Frequent
cétographie;ÉCRITURE  DU CÉTACÉ;céto;graphie;3;2;;grapho;Moyen;Frequent
cétologie;ÉTUDE  DU CÉTACÉ;céto;logie;3;1;;logo;Moyen;Frequent
cétologique;ÉTUDE  DU CÉTACÉ;céto;logique;3;1;;logo;Moyen;Frequent
cétologiste;SPÉCIALISTE  DU CÉTACÉ;céto;logiste;3;1;;logo;Moyen;Frequent
cétologue;SPÉCIALISTE / DISCOURS  DU CÉTACÉ;céto;logue;3;1;;logo;Moyen;Frequent
cétolyse;DÉCOMPOSITION  DU CÉTACÉ;céto;lyse;3;2;;;Moyen;Frequent
cétolytique;DÉCOMPOSITION  DU CÉTACÉ;céto;lytique;3;2;;;Moyen;Frequent
chalcogène;GÉNÉRATEUR / ORIGINE  DU CUIVRE;chalco;gène;3;2;;gène;Moyen;Frequent
chalcographe;QUI ÉCRIT  DU CUIVRE;chalco;graphe;3;2;;grapho;Moyen;Frequent
chalcographie;ÉCRITURE  DU CUIVRE;chalco;graphie;3;2;;grapho;Moyen;Frequent
chalcographique;ÉCRITURE  DU CUIVRE;chalco;graphique;3;2;;grapho;Moyen;Frequent
chalcoïde;APPARENCE  DU CUIVRE;chalco;ïde;3;3;;;Moyen;Frequent
chalcolithique;PIERRE  DU CUIVRE;chalco;lithique;3;2;;litho;Moyen;Frequent
chalcophile;AMOUREUX  DU CUIVRE;chalco;phile;3;1;;philo;Moyen;Frequent
chalcophore;PORTEUR  DU CUIVRE;chalco;phore;3;3;;phore;Moyen;Frequent
chalcosite;NOURRITURE  DU CUIVRE;chalco;site;3;3;;;Moyen;Frequent
chalcosome;CORPS  DU CUIVRE;chalco;some;3;2;;somato;Moyen;Frequent
chélateur;AGENT  DE LA PINCE;chél;ateur;3;1;;;Rare;Frequent
chélation;ACTION  DE LA PINCE;chél;ation;3;2;;ation;Rare;Frequent
chélatrice;AGENTE  DE LA PINCE;chél;atrice;3;2;;;Rare;Moyen
chélicère;CORNE  DE LA PINCE;chéli;cère;3;3;;cérato;Rare;Frequent
chélifère;PORTER  DE LA PINCE;chéli;fère;3;2;;;Rare;Frequent
chélodonte;DENT  DE LA PINCE;chél(o);odonte;3;3;;;Rare;Frequent
chéloïde;APPARENCE  DE LA PINCE;chélo;ïde;3;3;;;Rare;Frequent
chélopode;PIED  DE LA PINCE;chélo;pode;3;2;;;Rare;Frequent
chimiosynthèse;COMPOSITION  DE LA CHIMIE;chimio;synthèse;1;2;chimie;;Moyen;Moyen
chimiotaxie;DISPOSITION  DE LA CHIMIE;chimio;taxie;1;3;chimie;;Moyen;Frequent
chimiothèque;RANGEMENT  DE LA CHIMIE;chimio;thèque;1;2;chimie;;Moyen;Frequent
chimiothérapeute;MÉDECIN  DE LA CHIMIE;chimio;thérapeute;1;1;chimie;thérapie;Moyen;Moyen
chimiothérapie;MÉDECINE  DE LA CHIMIE;chimio;thérapie;1;1;chimie;thérapie;Moyen;Frequent
chimiothérapique;MÉDECINE  DE LA CHIMIE;chimio;thérapique;1;1;chimie;thérapie;Moyen;Frequent
chimiotropisme;ATTIRANCE  DE LA CHIMIE;chimio;tropisme;1;2;chimie;trope;Moyen;Frequent
chirogale;LAIT  DE LA MAIN;chiro;gale;2;3;chiro;gala;Moyen;Moyen
chirographe;QUI ÉCRIT  DE LA MAIN;chiro;graphe;2;2;chiro;grapho;Moyen;Frequent
chirographie;ÉCRITURE  DE LA MAIN;chiro;graphie;2;2;chiro;grapho;Moyen;Frequent
chirographique;ÉCRITURE  DE LA MAIN;chiro;graphique;2;2;chiro;grapho;Moyen;Frequent
chirologie;ÉTUDE  DE LA MAIN;chiro;logie;2;1;chiro;logo;Moyen;Frequent
chirologique;ÉTUDE  DE LA MAIN;chiro;logique;2;1;chiro;logo;Moyen;Frequent
chiromancie;PRÉDICTION  DE LA MAIN;chiro;mancie;2;2;chiro;mancie;Moyen;Frequent
chiromancien;PRÉDICTEUR  DE LA MAIN;chiro;mancien;2;2;chiro;mancie;Moyen;Moyen
chiromégalie;GRANDEUR  DE LA MAIN;chiro;mégalie;2;1;chiro;mégalo;Moyen;Moyen
chironome;LOI  DE LA MAIN;chiro;nome;2;2;chiro;;Moyen;Frequent
chironomie;LOI  DE LA MAIN;chiro;nomie;2;2;chiro;;Moyen;Frequent
chironomique;LOI  DE LA MAIN;chiro;nomique;2;2;chiro;;Moyen;Frequent
chiroplaste;MODELEUR  DE LA MAIN;chiro;plaste;2;3;chiro;plasmo;Moyen;Moyen
chiropraxie;ACTION  DE LA MAIN;chiro;praxie;2;3;chiro;praxie;Moyen;Moyen
chiroptère;AILE  DE LA MAIN;chiro;ptère;2;2;chiro;;Moyen;Frequent
chloranthe;FLEUR  VERT(E);chlor;anthe;2;2;chloro : vert;antho;Frequent;Moyen
chloration;ACTION  CHLORÉ(E);chlor;ation;2;2;chloro : chlore;ation;Frequent;Frequent
chlorémie;SANG  CHLORÉ(E);chlor;émie;2;3;chloro : chlore;;Frequent;Frequent
chloreuse;AGENTE / QUALITÉ  CHLORÉ(E);chlor;euse;2;2;chloro : chlore;;Frequent;Frequent
chloreux;AGENT / QUALITÉ  CHLORÉ(E);chlor;eux;2;2;chloro : chlore;;Frequent;Frequent
chlorhydrique;EAU  CHLORÉ(E);chlor;hydrique;2;1;chloro : chlore;hydro;Frequent;Moyen
chloride;APPARENCE  CHLORÉ(E);chlor;ide;2;3;chloro : chlore;eidos;Frequent;Frequent
chlorique;À PROPOS  CHLORÉ(E);chlor;ique;2;2;chloro : chlore;;Frequent;Frequent
chloroforme;FORME  CHLORÉ(E);chloro;forme;2;1;chloro : chlore;forme;Moyen;Frequent
chlorome;TUMEUR  VERT(E);chlor(o);ome;2;2;chloro : vert;;Moyen;Frequent
chloromètre;MESUREUR  CHLORÉ(E);chloro;mètre;2;1;chloro : chlore;métro (métron);Moyen;Frequent
chlorométrie;MESURE  CHLORÉ(E);chloro;métrie;2;1;chloro : chlore;métro (métron);Moyen;Frequent
chlorométrique;MESURAGE  CHLORÉ(E);chloro;métrique;2;1;chloro : chlore;métro (métron);Moyen;Frequent
chloropénie;PAUVRETÉ  CHLORÉ(E);chloro;pénie;2;3;chloro : chlore;;Moyen;Frequent
chloropexie;FIXATION  CHLORÉ(E);chloro;pexie;2;3;chloro : chlore;;Moyen;Frequent
chlorophane;APPARITION  VERT(E);chloro;phane;2;3;chloro : vert;;Moyen;Moyen
chlorophène;APPARITION  CHLORÉ(E);chloro;phène;2;3;chloro : chlore;;Moyen;Moyen
chlorophylle;FEUILLE  VERT(E);chloro;phylle;2;3;chloro : vert;;Moyen;Frequent
chloroplaste;MODELEUR  VERT(E);chloro;plaste;2;3;chloro : vert;plasmo;Moyen;Moyen
chloroplastique;FAÇONNEMENT  VERT(E);chloro;plastique;2;3;chloro : vert;plasmo;Moyen;Frequent
chloropsie;VISION  VERT(E);chlor(o);opsie;2;3;chloro : vert;;Moyen;Frequent
chlorurie;URINE  CHLORÉ(E);chlor;urie;2;2;chloro : chlore;;Frequent;Frequent
cholagogue;CONDUCTION -> ÉCOULEMENT  DE LA BILE;chol;agogue;3;2;;agogie : écouler;Frequent;Moyen
cholécyste;VESSIE -> VÉSICULE  DE LA BILE;cholé;cyste;3;3;;;Frequent;Moyen
cholégraphie;ÉCRITURE  DE LA BILE;cholé;graphie;3;2;;grapho;Frequent;Frequent
cholélithe;PIERRE  DE LA BILE;cholé;lithe;3;2;;litho;Frequent;Frequent
cholélogie;ÉTUDE  DE LA BILE;cholé;logie;3;1;;logo;Frequent;Frequent
cholémie;SANG  DE LA BILE;chol;émie;3;3;;;Frequent;Frequent
cholépathie;MALADIE  DE LA BILE;cholé;pathie;3;2;;patho (souffrance);Frequent;Frequent
cholépoïèse;CRÉATION  DE LA BILE;cholé;poïèse;3;3;;poïèse;Frequent;Frequent
cholérragie;ÉCOULEMENT  DE LA BILE;cholé;rragie;3;2;;;Frequent;Frequent
cholique;À PROPOS  DE LA BILE;chol;ique;3;2;;;Frequent;Frequent
cholurie;URINE  DE LA BILE;chol;urie;3;2;;;Frequent;Frequent
chondroblaste;GERME  DU CARTILAGE;chondro;blaste;3;3;;;Frequent;Frequent
chondroclaste;CASSEUR  DU CARTILAGE;chondro;claste;3;3;;clase;Frequent;Moyen
chondrocyte;CELLULE  DU CARTILAGE;chondro;cyte;3;2;;;Frequent;Frequent
chondrogenèse;CRÉATION  DU CARTILAGE;chondro;genèse;3;2;;gène;Frequent;Frequent
chondrographie;ÉCRITURE  DU CARTILAGE;chondro;graphie;3;2;;grapho;Frequent;Frequent
chondroïde;APPARENCE  DU CARTILAGE;chondro;ïde;3;3;;;Frequent;Frequent
chondrologie;ÉTUDE  DU CARTILAGE;chondro;logie;3;1;;logo;Frequent;Frequent
chondrolyse;DÉCOMPOSITION  DU CARTILAGE;chondro;lyse;3;2;;;Frequent;Frequent
chondromalacie;RAMOLLISSEMENT  DU CARTILAGE;chondro;malacie;3;3;;malaco;Frequent;Moyen
chondrome;TUMEUR  DU CARTILAGE;chondr(o);ome;3;2;;;Frequent;Frequent
chondrostome;BOUCHE  DU CARTILAGE;chondro;stome;3;3;;;Frequent;Frequent
chondrotomie;DÉCOUPE  DU CARTILAGE;chondro;tomie;3;2;;tomo;Frequent;Frequent
chorédrame;THÉÂTRE  DE LA DANSE;choré;drame;2;1;;;Moyen;Moyen
chorégraphe;QUI ÉCRIT  DE LA DANSE;choré;graphe;2;2;;grapho;Moyen;Frequent
chorégraphie;ÉCRITURE  DE LA DANSE;choré;graphie;2;2;;grapho;Moyen;Frequent
chorégraphique;ÉCRITURE  DE LA DANSE;choré;graphique;2;2;;grapho;Moyen;Frequent
choréique;À PROPOS  DE LA DANSE;choré;ique;2;2;;;Moyen;Frequent
chorélogie;ÉTUDE  DE LA DANSE;choré;logie;2;1;;logo;Moyen;Frequent
chorémanie;OBSESSION  DE LA DANSE;choré;manie;2;2;;mane (mania);Moyen;Frequent
chromagogue;MENEUR  DE LA COULEUR;chrom;agogue;1;2;chromo;agogie : guider;Frequent;Moyen
chromatable;QUI PEUT ÊTRE  DE LA COULEUR;chromat;able;1;1;chromo;;Frequent;Moyen
chromatation;ACTION  DE LA COULEUR;chromat;ation;1;2;chromo;ation;Frequent;Frequent
chromateur;AGENT  DE LA COULEUR;chrom;ateur;1;1;chromo;;Frequent;Frequent
chromatide;APPARENCE  DE LA COULEUR;chromat;ide;1;3;chromo;eidos;Frequent;Frequent
chromatique;À PROPOS  DE LA COULEUR;chromat;ique;1;2;chromo;;Frequent;Frequent
chromatisme;DOCTRINE / ÉTAT / PROFESSION  DE LA COULEUR;chromat;isme;1;2;chromo;;Frequent;Frequent
chromatocyte;CELLULE  DE LA COULEUR;chromato;cyte;1;2;chromo;;Moyen;Frequent
chromatogramme;ÉCRITURE  DE LA COULEUR;chromato;gramme;1;2;chromo;gramma;Moyen;Frequent
chromatographe;QUI ÉCRIT  DE LA COULEUR;chromato;graphe;1;2;chromo;grapho;Moyen;Frequent
chromatographie;ÉCRITURE  DE LA COULEUR;chromato;graphie;1;2;chromo;grapho;Moyen;Frequent
chromatographique;ÉCRITURE  DE LA COULEUR;chromato;graphique;1;2;chromo;grapho;Moyen;Frequent
chromatolyse;DÉCOMPOSITION  DE LA COULEUR;chromato;lyse;1;2;chromo;;Moyen;Frequent
chromatomètre;MESUREUR  DE LA COULEUR;chromato;mètre;1;1;chromo;métro (métron);Moyen;Frequent
chromatophore;PORTEUR  DE LA COULEUR;chromato;phore;1;3;chromo;phore;Moyen;Frequent
chromatoplasme;FORMÉ(E) DE  DE LA COULEUR;chromato;plasme;1;3;chromo;plasmo;Moyen;Moyen
chromatopsie;VISION  DE LA COULEUR;chromat(o);opsie;1;3;chromo;;Moyen;Frequent
chromatoscopie;EXAMEN  DE LA COULEUR;chromato;scopie;1;1;chromo;scope;Moyen;Frequent
chromatrope;ORIENTATION  DE LA COULEUR;chroma;trope;1;2;chromo;trope;Rare;Frequent
chromique;À PROPOS  DE LA COULEUR;chrom;ique;1;2;chromo;;Frequent;Frequent
chromisme;DOCTRINE / ÉTAT / PROFESSION  DE LA COULEUR;chrom;isme;1;2;chromo;;Frequent;Frequent
chromodiagnostic;DIAGNOSTIC  DE LA COULEUR;chromo;diagnostic;1;1;chromo;;Frequent;Moyen
chromodynamique;MOUVEMENT  DE LA COULEUR;chromo;dynamique;1;2;chromo;dyne;Frequent;Frequent
chromogène;GÉNÉRATEUR / ORIGINE  DE LA COULEUR;chromo;gène;1;2;chromo;gène;Frequent;Frequent
chromolithe;PIERRE  DE LA COULEUR;chromo;lithe;1;2;chromo;litho;Frequent;Frequent
chromolyse;DÉCOMPOSITION  DE LA COULEUR;chromo;lyse;1;2;chromo;;Frequent;Frequent
chromomère;PARTIE  DE LA COULEUR;chromo;mère;1;3;chromo;;Frequent;Frequent
chromométrie;MESURE  DE LA COULEUR;chromo;métrie;1;1;chromo;métro (métron);Frequent;Frequent
chromomycose;CHAMPIGNON  DE LA COULEUR;chromo;mycose;1;2;chromo;;Frequent;Moyen
chromophile;AMOUREUX  DE LA COULEUR;chromo;phile;1;1;chromo;philo;Frequent;Frequent
chromophobe;QUI A HORREUR  DE LA COULEUR;chromo;phobe;1;1;chromo;phobe;Frequent;Frequent
chromophore;PORTEUR  DE LA COULEUR;chromo;phore;1;3;chromo;phore;Frequent;Frequent
chromoplaste;MODELEUR  DE LA COULEUR;chromo;plaste;1;3;chromo;plasmo;Frequent;Moyen
chromoscopie;EXAMEN  DE LA COULEUR;chromo;scopie;1;1;chromo;scope;Frequent;Frequent
chromosome;CORPS  DE LA COULEUR;chromo;some;1;2;chromo;somato;Frequent;Frequent
chromosphère;SPHÈRE  DE LA COULEUR;chromo;sphère;1;1;chromo;;Frequent;Frequent
chromosphérique;SPHÈRE  DE LA COULEUR;chromo;sphérique;1;1;chromo;;Frequent;Frequent
chromothérapie;MÉDECINE  DE LA COULEUR;chromo;thérapie;1;1;chromo;thérapie;Frequent;Frequent
chromotrope;ORIENTATION  DE LA COULEUR;chromo;trope;1;2;chromo;trope;Frequent;Frequent
chromotropique;ATTIRANCE  DE LA COULEUR;chromo;tropique;1;2;chromo;trope;Frequent;Moyen
chromotropisme;ATTIRANCE  DE LA COULEUR;chromo;tropisme;1;2;chromo;trope;Frequent;Frequent
chromotypie;EMPREINTE  DE LA COULEUR;chromo;typie;1;2;chromo;;Frequent;Moyen
chromurgie;TRAVAIL  DE LA COULEUR;chrom;urgie;1;2;chromo;ergo;Frequent;Moyen
chromurgique;TRAVAIL  DE LA COULEUR;chrom;urgique;1;2;chromo;ergo;Frequent;Moyen
chronogénétique;CRÉATION  DU TEMPS;chrono;génétique;1;2;chrono;gène;Frequent;Frequent
chronogramme;ÉCRITURE  DU TEMPS;chrono;gramme;1;2;chrono;gramma;Frequent;Frequent
chronographe;QUI ÉCRIT  DU TEMPS;chrono;graphe;1;2;chrono;grapho;Frequent;Frequent
chronographie;ÉCRITURE  DU TEMPS;chrono;graphie;1;2;chrono;grapho;Frequent;Frequent
chronographique;ÉCRITURE  DU TEMPS;chrono;graphique;1;2;chrono;grapho;Frequent;Frequent
chronologie;ÉTUDE  DU TEMPS;chrono;logie;1;1;chrono;logo;Frequent;Frequent
chronologique;ÉTUDE  DU TEMPS;chrono;logique;1;1;chrono;logo;Frequent;Frequent
chronologiste;SPÉCIALISTE  DU TEMPS;chrono;logiste;1;1;chrono;logo;Frequent;Frequent
chronologue;SPÉCIALISTE / DISCOURS  DU TEMPS;chrono;logue;1;1;chrono;logo;Frequent;Frequent
chronomètre;MESUREUR  DU TEMPS;chrono;mètre;1;1;chrono;métro (métron);Frequent;Frequent
chronométrie;MESURE  DU TEMPS;chrono;métrie;1;1;chrono;métro (métron);Frequent;Frequent
chronométrique;MESURAGE  DU TEMPS;chrono;métrique;1;1;chrono;métro (métron);Frequent;Frequent
chronophage;MANGEUR  DU TEMPS;chrono;phage;1;2;chrono;phago;Frequent;Frequent
chronoscope;VISIONNEUSE  DU TEMPS;chrono;scope;1;1;chrono;scope;Frequent;Frequent
chronothérapie;MÉDECINE  DU TEMPS;chrono;thérapie;1;1;chrono;thérapie;Frequent;Frequent
chronotrope;ORIENTATION  DU TEMPS;chrono;trope;1;2;chrono;trope;Frequent;Frequent
chrysanthe;FLEUR  DE L'OR;chrys;anthe;3;2;chryso;antho;Rare;Moyen
chrysanthème;FLEUR  DE L'OR;chrys;anthème;3;2;chryso;antho;Rare;Rare
chryside;APPARENCE  DE L'OR;chrys;ide;3;3;chryso;eidos;Rare;Frequent
chrysocarpe;FRUIT  DE L'OR;chryso;carpe;3;3;chryso;karpos : fruit;Moyen;Frequent
chrysocéphale;TÊTE  DE L'OR;chryso;céphale;3;2;chryso;;Moyen;Frequent
chrysocole;CULTIVER / HABITER / RENDRE UN CULTE  DE L'OR;chryso;cole;3;2;chryso;cult;Moyen;Frequent
chrysogastre;VENTRE / ESTOMAC  DE L'OR;chryso;gastre;3;2;chryso;gastro;Moyen;Moyen
chrysogène;GÉNÉRATEUR / ORIGINE  DE L'OR;chryso;gène;3;2;chryso;gène;Moyen;Frequent
chrysographe;QUI ÉCRIT  DE L'OR;chryso;graphe;3;2;chryso;grapho;Moyen;Frequent
chrysographie;ÉCRITURE  DE L'OR;chryso;graphie;3;2;chryso;grapho;Moyen;Frequent
chrysolithe;PIERRE  DE L'OR;chryso;lithe;3;2;chryso;litho;Moyen;Frequent
chrysologie;ÉTUDE  DE L'OR;chryso;logie;3;1;chryso;logo;Moyen;Frequent
chrysologue;SPÉCIALISTE / DISCOURS  DE L'OR;chryso;logue;3;1;chryso;logo;Moyen;Frequent
chrysolophe;CRÈTE  DE L'OR;chryso;lophe;3;3;chryso;;Moyen;Moyen
chrysomèle;MEMBRE  DE L'OR;chryso;mèle;3;3;chryso;mélos : membre;Moyen;Moyen
chrysopexie;FIXATION  DE L'OR;chryso;pexie;3;3;chryso;;Moyen;Frequent
chrysophore;PORTEUR  DE L'OR;chryso;phore;3;3;chryso;phore;Moyen;Frequent
chrysophylle;FEUILLE  DE L'OR;chryso;phylle;3;3;chryso;;Moyen;Frequent
chrysoptère;AILE  DE L'OR;chryso;ptère;3;2;chryso;;Moyen;Frequent
chrysostome;BOUCHE  DE L'OR;chryso;stome;3;3;chryso;;Moyen;Frequent
chrysothérapie;MÉDECINE  DE L'OR;chryso;thérapie;3;1;chryso;thérapie;Moyen;Frequent
cinégénique;DÉVELOPPEMENT  DU MOUVEMENT;ciné;génique;2;2;cinèse;gène;Moyen;Frequent
cinégraphie;ÉCRITURE  DU MOUVEMENT;ciné;graphie;2;2;cinèse;grapho;Moyen;Frequent
cinégraphique;ÉCRITURE  DU MOUVEMENT;ciné;graphique;2;2;cinèse;grapho;Moyen;Frequent
cinémanie;OBSESSION  DU MOUVEMENT;ciné;manie;2;2;cinèse;mane (mania);Moyen;Frequent
cinématographe;QUI ÉCRIT  DU MOUVEMENT;cinémato;graphe;2;2;cinèse;grapho;Moyen;Frequent
cinématographie;ÉCRITURE  DU MOUVEMENT;cinémato;graphie;2;2;cinèse;grapho;Moyen;Frequent
cinématographique;ÉCRITURE  DU MOUVEMENT;cinémato;graphique;2;2;cinèse;grapho;Moyen;Frequent
cinépathie;MALADIE  DU MOUVEMENT;ciné;pathie;2;2;cinèse;patho (souffrance);Moyen;Frequent
cinéphage;MANGEUR  DU MOUVEMENT;ciné;phage;2;2;cinèse;phago;Moyen;Frequent
cinéphile;AMOUREUX  DU MOUVEMENT;ciné;phile;2;1;cinèse;philo;Moyen;Frequent
cinéphilie;AMOUR  DU MOUVEMENT;ciné;philie;2;1;cinèse;philo;Moyen;Frequent
cinéplastie;FAÇONNEMENT  DU MOUVEMENT;ciné;plastie;2;3;cinèse;plasmo;Moyen;Frequent
cinéscope;VISIONNEUSE  DU MOUVEMENT;ciné;scope;2;1;cinèse;scope;Moyen;Frequent
cinésialgie;DOULEUR  DU MOUVEMENT;cinési;algie;2;2;cinèse;algos;Rare;Frequent
cinésiologie;ÉTUDE  DU MOUVEMENT;cinésio;logie;2;1;cinèse;logo;Rare;Frequent
cinésiologique;ÉTUDE  DU MOUVEMENT;cinésio;logique;2;1;cinèse;logo;Rare;Frequent
cinésithérapie;MÉDECINE  DU MOUVEMENT;cinési;thérapie;2;1;cinèse;thérapie;Rare;Frequent
cinétropisme;ATTIRANCE  DU MOUVEMENT;ciné;tropisme;2;2;cinèse;trope;Moyen;Frequent
circonfixe;FIXER  AUTOUR;circon;fixe;2;2;circon;;Rare;Moyen
cistron;MACHINE  EN DEÇÀ;cis;tron;2;2;;tron;Rare;Moyen
cistude;QUALITÉ / ÉTAT  EN DEÇÀ;cis;tude;2;2;;;Rare;Moyen
claustromanie;OBSESSION  ENFERMÉ(E);claustro;manie;2;2;;mane (mania);Rare;Frequent
claustrophobe;QUI A HORREUR  ENFERMÉ(E);claustro;phobe;2;1;;phobe;Rare;Frequent
claustrophobie;AVERSION  ENFERMÉ(E);claustro;phobie;2;1;;phobe;Rare;Frequent
claustrophobique;AVERSION  ENFERMÉ(E);claustro;phobique;2;1;;phobe;Rare;Moyen
cleptocrate;GOUVERNEUR  DU VOL;clepto;crate;2;1;;crate;Moyen;Moyen
cleptocratie;GOUVERNANCE  DU VOL;clepto;cratie;2;1;;crate;Moyen;Frequent
cleptocratique;GOUVERNANCE  DU VOL;clepto;cratique;2;1;;crate;Moyen;Frequent
cleptomane;MANIAQUE  DU VOL;clepto;mane;2;2;;mane (mania);Moyen;Frequent
cleptomanie;OBSESSION  DU VOL;clepto;manie;2;2;;mane (mania);Moyen;Frequent
cleptophobie;AVERSION  DU VOL;clepto;phobie;2;1;;phobe;Moyen;Frequent
climatographie;ÉCRITURE  DE L'INCLINAISON -> DU CLIMAT;climato;graphie;1;2;;grapho;Frequent;Frequent
climatologie;ÉTUDE  DE L'INCLINAISON -> DU CLIMAT;climato;logie;1;1;;logo;Frequent;Frequent
climatologique;ÉTUDE  DE L'INCLINAISON -> DU CLIMAT;climato;logique;1;1;;logo;Frequent;Frequent
climatologiste;SPÉCIALISTE  DE L'INCLINAISON -> DU CLIMAT;climato;logiste;1;1;;logo;Frequent;Frequent
climatologue;SPÉCIALISTE / DISCOURS  DE L'INCLINAISON -> DU CLIMAT;climato;logue;1;1;;logo;Frequent;Frequent
climatothérapie;MÉDECINE  DE L'INCLINAISON -> DU CLIMAT;climato;thérapie;1;1;;thérapie;Frequent;Frequent
climatothérapique;MÉDECINE  DE L'INCLINAISON -> DU CLIMAT;climato;thérapique;1;1;;thérapie;Frequent;Frequent
clinocéphalie;TÊTE  DE L'INCLINAISON;clino;céphalie;2;2;clino : inclinaison;;Moyen;Frequent
clinoclase;CASSURE  DE L'INCLINAISON;clino;clase;2;3;clino : inclinaison;clase;Moyen;Moyen
clinodactylie;DOIGT  DE L'INCLINAISON;clino;dactylie;2;2;clino : inclinaison;dactylo;Moyen;Moyen
clinographique;ÉCRITURE  DE L'INCLINAISON;clino;graphique;2;2;clino : inclinaison;grapho;Moyen;Frequent
clinoïde;APPARENCE  DE L'INCLINAISON;clino;ïde;2;3;clino : inclinaison;;Moyen;Frequent
clinomanie;OBSESSION  DU LIT;clino;manie;2;2;clino : lit;mane (mania);Moyen;Frequent
clinomètre;MESUREUR  DE L'INCLINAISON;clino;mètre;2;1;clino : inclinaison;métro (métron);Moyen;Frequent
clinophilie;AMOUR  DU LIT;clino;philie;2;1;clino : lit;philo;Moyen;Frequent
clinopode;PIED  DU LIT;clino;pode;2;2;clino : lit;;Moyen;Frequent
clinoscope;VISIONNEUSE  DE L'INCLINAISON;clino;scope;2;1;clino : inclinaison;scope;Moyen;Frequent
clinostat;MAINTIEN  DE L'INCLINAISON;clino;stat;2;2;clino : inclinaison;statos;Moyen;Frequent
clinostatique;ARRÊT  DE L'INCLINAISON;clino;statique;2;2;clino : inclinaison;statos;Moyen;Frequent
clinostatisme;ARRÊT  DE L'INCLINAISON;clino;statisme;2;2;clino : inclinaison;statos;Moyen;Moyen
clinothérapie;MÉDECINE  DE L'INCLINAISON;clino;thérapie;2;1;clino : inclinaison;thérapie;Moyen;Frequent
cocarde;CŒUR  AVEC;co;carde;2;1;;;Frequent;Moyen
coccifère;PORTER  DE LA GRAINE -> DE LA BACTÉRIE;cocci;fère;3;2;;;Rare;Frequent
coccolithe;PIERRE  DE LA GRAINE -> DE LA BACTÉRIE;cocco;lithe;3;2;;litho;Rare;Frequent
